trench,profile,lon,lat,z_a,W,theta_l,theta_s,A,S,h_f,d_f,class,age_Ma,sed_m
aleutian,107,195.593,52.6764662054,-7028.149803,44.054639138499994,3.462212290962934,2.6327112719163828,0.1360970339478193,68.79680268368898,125.75539267499973,63.0758400558,1,54.5604335853,375.360442202
aleutian,108,195.747,52.6978346382,-7032.85763209,38.0482856775,4.145847872127,3.017717498610589,0.1574816889540374,59.85688653066405,-77.39329048000036,75.0918786417,1,54.4580949466,364.059762313
aleutian,109,195.8225,52.7105200566,-7031.95241905,42.0705110436,4.017511001780599,2.7343808686929214,0.1900400891635857,66.43469005914086,-249.4009198650001,51.0843737598,1,54.3988088142,360.162296618
aleutian,110,195.948304602,52.7780834842,-7036.78060422,45.086019533199995,4.8660020107155155,2.4374516752815203,0.3325208099957246,73.20989240734279,-130.92085838999992,92.17224061413,1,54.1439546024,375.579684002
aleutian,111,196.0745,52.8455134429,-7023.47414185,42.0739357412,6.45995588669067,2.300820535633207,0.4747450626019073,72.23105836531712,-175.03778966000027,80.13818229861,1,53.8834291847,390.725008525
aleutian,112,196.147,52.8653245855,-7012.27906326,42.0514360368,6.010161462249484,2.1395598852171474,0.4749366772197096,71.00765300285559,-5.984012689999872,102.119280289,1,53.8010825244,390.30147296
aleutian,113,196.331,52.8669694853,-6996.77723802,37.046569170400005,4.6382289975208515,2.827226043713529,0.2425844029338473,60.547138572423954,-154.1289688149991,62.0758419778,1,53.7675909518,371.944233609
aleutian,114,196.481,52.9037928941,-6982.00916951,38.0491974137,4.442254885886311,2.9005341363248833,0.2099639176473514,64.45432048839571,-125.6811948049999,73.0913741807,1,53.6106802965,378.076484802
aleutian,115,196.653,52.9130413461,-6987.07411635,38.0495462174,3.6778985786356047,3.3110548228810877,0.05248908308287,62.47864728825603,-13.99951146999956,109.134412403,1,53.5445165367,377.402072966
aleutian,116,196.804,52.9511005683,-6961.07246152,42.061244755299995,3.62540823745645,2.7207154431104015,0.142558330074216,67.16155737186772,-197.7391072549999,52.0743283444,1,53.3848587986,396.753672083
aleutian,117,196.955,52.9889579214,-6952.08044107,50.0818632648,2.972458030697195,2.5327909358029017,0.0798632537001877,81.065983001662,65.68088349999925,94.1489329524,1,53.2252557414,419.846445648
