trench,profile,lon_x,lat_x,z_a,W,theta_l,theta_s,A,S,h_f,d_f,lon_y,lat_y,age_Ma,sed_m
philippine,38,126.334149371,11.560373084,-8758.352937,35.9964607694,9.673430021345078,5.5031691528919175,0.2747823027132705,73.958694129907,-138.3969327199993,77.99196110026,126.334149371,11.560373084,,588.731572845
philippine,39,126.313705916,11.484249544,-9037.00530147,37.0061158933,8.39788387639857,6.417633210006679,0.13366058402436545,77.15472775031316,-243.77834303500003,57.009379429,126.313705916,11.484249544,,610.170042604
philippine,40,126.327567007,11.4360013019,-9189.67298992,37.001016883999995,9.515065849002164,7.277557603857246,0.1332435191812701,84.05171875743225,-425.4083581300001,56.0016834991,126.327567007,11.4360013019,,610.839673927
philippine,41,126.341526155,11.3401101556,-9188.92003584,45.0021378442,9.101750279950691,5.051189155776519,0.2861992833763614,98.31096991594346,-245.2269601099997,64.0031911071,126.341526155,11.3401101556,,619.403634568
philippine,42,126.353081144,11.2919615503,-9181.88539843,46.981350424300004,8.685275596614385,4.947348102934799,0.2741898827445222,106.76178864503069,-329.16654539750016,56.9776289025,126.353081144,11.2919615503,,622.103405469
philippine,43,126.398254916,11.1977910511,-9207.23453639,59.963509847699996,7.993231347152224,3.723125259396975,0.36445682144638275,128.63008279461332,-450.63083319,61.96257638356,126.398254916,11.1977910511,,613.419212628
philippine,44,126.4433993,11.1036137714,-9388.23399992,50.9687890704,7.269470971521139,5.5273119080606525,0.13614039402358147,115.13910163623981,-301.97069054749954,57.9648397411,126.4433993,11.1036137714,,601.806844426
philippine,47,126.451813521,11.0346670151,-9186.23978137,54.0055667913,7.152686860219332,4.2217927474173855,0.2576728091221133,113.72208804601246,47.19742676499936,89.009382663,126.451813521,11.0346670151,,610.744227356
philippine,48,126.460223794,10.9657200268,-9108.01394937,59.994616041200004,5.236564024949845,4.2883888359801405,0.0995464442516021,121.8899511210595,-107.88009881500057,89.9924031123,126.460223794,10.9657200268,,619.100560003
philippine,49,126.491804967,10.8771063053,-9884.88811988,35.9983886028,10.142410028748088,10.142389844347308,9.950505258314827e-07,98.51363825304894,-111.36771070250052,90.9963947112,126.491804967,10.8771063053,,611.088379129
philippine,50,126.502587522,10.7790670667,-9539.49667258,51.992737638200005,9.113799025256158,4.854395989054255,0.3049358225481636,120.6656461858378,602.8414665800001,60.9916664797,126.502587522,10.7790670667,,625.667937171
philippine,51,126.542447281,10.6942174745,-9582.89811396,59.9496337107,8.647087265273868,4.348271650947846,0.33079622056147595,145.20223802467828,-132.85397902000022,60.9491031285,126.542447281,10.6942174745,,611.344936251
philippine,52,126.593030159,10.6168969399,-9352.03253726,60.9871576817,6.520065514677907,3.9571570468804604,0.24461716382745652,134.6512753298546,-104.36713292999957,56.988176444973,126.593030159,10.6168969399,,588.798715391
philippine,53,126.598901853,10.5113206591,-9735.99564643,55.0038029234,8.111612886510784,5.427857412630189,0.19821716910526913,128.3800032987689,-207.05440745750002,52.00366815458,126.598901853,10.5113206591,,617.430128763
